Row,Mean,Length,DQUNC,DQHITS,DQFIN,DQREAL,Tloss
Historical,94.3152454780362,5.43951246221679,91.6666666666667,95.8333333333333,91.6666666666667,91.6666666666667,0.142738820166937
QR-NFCI,92.0865633074935,5.32439337842225,87.5,83.3333333333333,79.1666666666667,87.5,0.158575108421279
QR-NFCI+TS,90.6976744186046,5.2534784526565,83.3333333333333,87.5,70.8333333333333,91.6666666666667,0.158279329006425
QR-NFCI+TS+GF,90.2777777777778,5.21739042172558,79.1666666666667,91.6666666666667,66.6666666666667,87.5,0.161884858447207
Full,87.984496124031,5.16595265257687,70.8333333333333,66.6666666666667,70.8333333333333,62.5,0.218757840895455
Lasso,87.4677002583979,5.06680039963309,58.3333333333333,70.8333333333333,66.6666666666667,70.8333333333333,0.178097028889952
GARCH,92.9263565891473,5.24742461029189,83.3333333333333,91.6666666666667,87.5,87.5,0.142972616643833
GJR-GARCH,92.8617571059432,5.24686298062342,83.3333333333333,95.8333333333333,87.5,87.5,0.142966224756019
F-GARCH,92.9263565891473,5.2325770667406,91.6666666666667,75,83.3333333333333,95.8333333333333,0.141179140453826
