Row,UniformCoverage,Length,UC,DQ,DQFin,DQReal
Historical,90.9090909090909,7.97610053867433,0.03104056672422,0.00299656594948539,0.0251872268483366,0.120569803250145
QR-NFCI,51.5151515151515,6.1114195638801,0,0,0,0
QR-NFCI+TS,39.3939393939394,5.89258208629255,0,0,0,0
QR-NFCI+GF+TS,34.8484848484849,5.69376915000556,0,0,0,0
Full,25.7575757575758,5.64850243613234,0,0,0,0
Lasso,32.5757575757576,6.55623976181081,0,0,0,0
GARCH + BJPR,94.6969696969697,7.74724824493616,0.873082256227972,0.0214549195307938,0.622550587456581,0.454855514555579
GJR-GARCH + BJPR,94.6969696969697,7.70798934904523,0.873082256227972,0.0214549195307938,0.622550587456581,0.454855514555579
F-GARCH + BJPR,95.4545454545455,7.60457777199987,0.81062724725487,0.318512619765708,0.578553846408829,0.87209055647235
GARCH + Bonf.,87.1212121212121,7.31996788219063,3.27628787659684e-05,2.15707579576119e-07,2.97447050812139e-06,1.41933779040926e-06
GJR-GARCH + Bonf.,86.3636363636364,7.29337707236037,5.29563664020127e-06,3.10133030367865e-11,2.09918859850333e-07,1.04148355939415e-07
F-GARCH + Bonf.,85.6060606060606,7.30215345123693,7.34232746935071e-07,5.63257218644253e-11,9.97100132793527e-07,9.43286354582185e-08
GARCH + Marg,35.6060606060606,5.11528321460289,0,0,0,0
GJR-GARCH + Marg,36.3636363636364,5.11646387298057,0,0,0,0
F-GARCH + Marg,33.3333333333333,5.130086190498,0,0,0,0
