Row,TlossH,TlossFin,TlossGARCH,TlossFac
Historical,0,4.16666666666667,0,0
AR,12.5,0,0,4.16666666666667
Factor,12.5,0,0,4.16666666666667
Fin,0,0,0,0
Full,0,0,0,0
Lasso,0,0,0,0
GARCH,8.33333333333333,8.33333333333333,0,0
GJR-GARCH,4.16666666666667,8.33333333333333,0,0
F-GARCH,12.5,12.5,0,0
