Row,TlossH,TlossFin,TlossGARCH,TlossFac
Historical,0,8.33333333333333,0,0
AR,4.16666666666667,0,4.16666666666667,4.16666666666667
Factor,8.33333333333333,0,8.33333333333333,8.33333333333333
Fin,8.33333333333333,4.16666666666667,0,4.16666666666667
Full,0,0,0,0
Lasso,0,0,4.16666666666667,4.16666666666667
GARCH,4.16666666666667,8.33333333333333,0,0
GJR-GARCH,4.16666666666667,8.33333333333333,0,0
F-GARCH,8.33333333333333,8.33333333333333,0,0
