Row,Historical_1,Historical_2,Historical_3,Historical_4,Historical_5,Historical_6,Historical_7,QRFIN_1,QRFIN_2,QRFIN_3,QRFIN_4,QRFIN_5,QRFIN_6,QRFIN_7,GARCH_1,GARCH_2,GARCH_3,GARCH_4,GARCH_5,GARCH_6,GARCH_7
AUS,99.2307692307692,5.02950591338817,0.0262961629643571,0.0942270517131389,0,0,0,100,5.01526781458022,0.0089033851158814,0.0928575531520879,0,0,0,98.4615384615385,4.58458340532733,0.0658898091610712,0.0777849497523125,1,1,1
CAN,96.1538461538462,3.73880109840285,0.659208308746811,0.0954486489754656,0,0,0,92.3076923076923,3.5813840710934,0.373461587562891,0.0896866217869481,0,0,0,91.5384615384615,3.3232563073891,0.263406747792014,0.0948152829322485,0,0,0
DEU,96.9230769230769,4.81129639108867,0.349332452819333,0.126774531696671,0,0,0,96.9230769230769,4.6593568087036,0.349332452819333,0.127395670633167,0,0,0,96.9230769230769,4.89440264128771,0.349332452819333,0.139182073424512,0,0,0
ESP,90,5.18703486662028,0.159580719646694,0.10975978809268,0,0,0,84.6153846153846,5.08378177737679,0.0376769099946038,0.122481098759168,0,0,0,89.2307692307692,5.03707558504574,0.135390889886778,0.106812663330613,0,0,0
FRA,93.0769230769231,3.81635919997198,0.494877843588014,0.0662649850969595,0,0,0,93.8461538461538,3.93930830458029,0.685635488390987,0.0721653637625647,0,0,0,96.1538461538462,4.16194967769047,0.689968743223711,0.0710000372081248,0,0,0
GBR,97.6923076923077,5.37030194329467,0.282554305882458,0.103499318866015,0,0,0,96.1538461538462,5.24158721639598,0.692896349454679,0.0985205288698888,0,0,0,96.1538461538462,4.94184472790116,0.689968743223711,0.103367858854424,0,0,0
ITA,90.7692307692308,3.74281276876376,0.231244960900405,0.0953489789150864,0,0,0,84.6153846153846,3.63222249398993,0.00547407279606305,0.113940554251451,0,0,0,90,3.70795229265164,0.127759700773986,0.094996424068602,0,0,0
JPN,86.9230769230769,4.61713300627923,0.000115894076564538,0.150106926386887,0,0,0,88.4615384615385,4.84451401712088,0.00104215682452447,0.14430362937779,0,0,0,90.7692307692308,5.04387382906462,0.0471588915050991,0.138403206197913,0,0,0
KOR,97.6923076923077,9.09304198140211,0.144437997666327,0.219140472655284,0,0,0,96.9230769230769,8.50105964082245,0.282955267033539,0.210551526248622,0,0,0,94.6153846153846,8.06941956536829,0.865576038017383,0.204203880219083,0,0,0
MEX,93.8461538461538,4.23287417933039,0.664949519985098,0.222912055302239,0,0,0,96.1538461538462,4.73288935434569,0.567314696561786,0.209219139725374,0,0,0,88.4615384615385,3.69269576753003,0.0168254642234776,0.253151524009991,0,0,0
SWE,97.6923076923077,5.80624359560841,0.200200976572345,0.136150466731779,0,0,0,98.4615384615385,5.93602418989902,0.104890218109336,0.142941043421068,0,0,0,96.9230769230769,5.67901332188509,0.40816782306795,0.136016193839504,0,0,0
USA,96.9230769230769,3.38993088116268,0.49951442729907,0.0922589968445113,0,0,0,96.9230769230769,3.26239294198156,0.40816782306795,0.0843876671926751,0,0,1,95.3846153846154,2.94519687445986,0.895458966292189,0.0834947717832102,0,0,0
