Row,Historical_1,Historical_2,Historical_3,Historical_4,Historical_5,Historical_6,Historical_7,QRFIN_1,QRFIN_2,QRFIN_3,QRFIN_4,QRFIN_5,QRFIN_6,QRFIN_7,GARCH_1,GARCH_2,GARCH_3,GARCH_4,GARCH_5,GARCH_6,GARCH_7
AUS,99.236641221374,5.02317703784894,0.0255289992234183,0.0940287498759919,0,0,0,99.236641221374,5.09667097468849,0.0255289992234183,0.100589971870545,0,0,0,96.9465648854962,4.50130054996115,0.275789189114413,0.0725521600121854,1,1,1
CAN,96.1832061068702,3.73321274138343,0.64940086116143,0.094865690360349,0,0,0,93.1297709923664,3.40415895070842,0.472668069227797,0.0929522694958889,0,0,0,92.3664122137405,3.28803351657285,0.271284615301831,0.0867288255199757,0,0,0
DEU,96.1832061068702,4.80159339575221,0.557907895385974,0.127915433076512,0,0,0,94.6564885496183,4.68021312039524,0.86857569222155,0.131292630745557,0,0,0,95.4198473282443,4.81717265860139,0.829576134788531,0.140594607151805,0,0,0
ESP,90.0763358778626,5.18470850707346,0.163891886164716,0.107603148193993,0,0,0,88.5496183206107,5.05022446222602,0.0523422110043333,0.0920924939560591,0,1,1,91.6030534351145,5.01348095812693,0.242555297895609,0.0922637975780205,0,1,1
FRA,93.1297709923664,3.81100268986749,0.504746267448786,0.0647975462647546,0,0,0,93.1297709923664,3.97021305809104,0.510566925298712,0.0614590879446965,0,0,0,96.9465648854962,4.13408473744258,0.504795594610564,0.0622158843648665,0,0,0
GBR,97.7099236641221,5.36490776257563,0.276882171402728,0.101859019312226,0,0,0,94.6564885496183,5.09217684742497,0.916035589705034,0.0861042466207684,0,0,1,95.4198473282443,4.88010833748526,0.882961527401271,0.094076363282783,0,0,0
ITA,90.8396946564885,3.73916830939415,0.236624521057532,0.0939458814754379,0,0,0,94.6564885496183,3.87760257332251,0.900961218027774,0.0950041468908511,0,0,0,91.6030534351145,3.66091850268863,0.270103493484532,0.08369365094215,0,0,0
JPN,87.0229007633588,4.61682909550641,0.000146324391509078,0.149217038905727,0,0,0,87.7862595419847,4.9214529548638,0.00051363994460818,0.141099755415717,0,0,0,87.7862595419847,4.99609385790532,5.28901623064737e-05,0.149731770999622,0,0,0
KOR,97.7099236641221,9.08417890852992,0.140531003556145,0.218564030550865,0,0,0,96.9465648854962,8.45486669052233,0.275789189114413,0.20819521304276,0,0,0,95.4198473282443,7.94702493304175,0.825930972452538,0.205793387730603,0,0,0
MEX,93.1297709923664,4.21847869711795,0.497568759810464,0.221494105684309,0,0,0,93.8931297709924,4.61915877276534,0.584369504516257,0.227368852201137,0,0,0,90.8396946564885,3.77267513103592,0.0380011643328123,0.228460989311337,0,0,0
SWE,97.7099236641221,5.80132493764415,0.195361403326076,0.134911897857797,0,0,0,96.9465648854962,5.86939863750044,0.400229654626667,0.140038883266483,0,0,0,96.9465648854962,5.59845708847043,0.400229654626667,0.132709393675031,0,0,0
USA,97.7099236641221,3.38400297084249,0.249817625584661,0.092124265422728,0,0,0,91.6030534351145,3.02004033786211,0.204165912042177,0.0781875203104559,1,1,1,96.1832061068702,2.8756445881839,0.6006650327001,0.0751146433422472,1,1,1
