Row,UniformCoverage,Length,UC,DQ,DQFin,DQReal
Historical,90.0763358778626,7.94869737793685,0.0420222890728637,1,0.0416272023284754,0.133230666936149
QR-NFCI,54.1984732824427,6.59488756303765,8.88178419700125e-16,1,0.0066145742240844,0
QR-NFCI+TS,39.6946564885496,6.17588837793714,0,0,0,1.12898579374132e-12
QR-NFCI+GF+TS,45.8015267175573,6.12195266717618,0,0,1.11022302462516e-16,0
Full,33.587786259542,5.92158709172549,0,0,0,0
Lasso,37.4045801526717,7.2904691984455,0,0,0,0
GARCH + BJPR,94.6564885496183,8.15184722326611,0.898735394074104,1,0.591275330003829,1
GJR-GARCH + BJPR,94.6564885496183,8.12109183000555,0.898735394074104,1,0.591275330003829,1
F-GARCH + BJPR,93.8931297709924,7.93038724980408,0.686949446078524,0.483176099260362,0.506872215632907,0.666915463100278
GARCH + Bonf.,92.3664122137405,7.91903636518338,0.310018101946685,1,0.75301436031932,0.889017171385851
GJR-GARCH + Bonf.,93.1297709923664,7.88740659097113,0.460260443087984,1,0.00853710036294808,0.639118176963094
F-GARCH + Bonf.,91.6030534351145,7.83470387855809,0.198860820313343,1,0.57176080363957,0.0162248978371938
GARCH + Marg,38.1679389312977,5.18532417307094,0,1,3.0827529418076e-10,1
GJR-GARCH + Marg,38.1679389312977,5.18449705112025,0,0,0,1
F-GARCH + Marg,40.4580152671756,5.19183206284835,0,1,0,0
