Row,Mean,Length,DQUNC,DQHITS,DQFIN,DQREAL,Tloss
Historical,94.4656488549618,5.42742447186066,91.6666666666667,91.6666666666667,91.6666666666667,87.5,0.140967112415203
QR-NFCI,92.7480916030534,5.25711420614541,83.3333333333333,75,87.5,79.1666666666667,0.140299421032016
QR-NFCI+TS,91.5076335877863,5.21439064996953,87.5,79.1666666666667,87.5,79.1666666666667,0.146062285616525
QR-NFCI+TS+GF,91.793893129771,5.23616142696249,87.5,83.3333333333333,83.3333333333333,70.8333333333333,0.147531215057991
Full,90.7442748091603,5.22829980530653,70.8333333333333,87.5,62.5,79.1666666666667,0.193227795738695
Lasso,90.1717557251908,5.15434059968774,75,70.8333333333333,70.8333333333333,70.8333333333333,0.152240796636407
GARCH,93.352417302799,5.18532417307094,87.5,87.5,91.6666666666667,91.6666666666667,0.131700950000531
GJR-GARCH,93.3206106870229,5.18449705112025,87.5,87.5,95.8333333333333,91.6666666666667,0.132297666418809
F-GARCH,93.2251908396947,5.19183206284835,87.5,83.3333333333333,83.3333333333333,95.8333333333333,0.132300740460008
