Row,Mean,Length,DQUNC,DQHITS,DQFIN,DQREAL,Tloss
Historical,94.3589743589744,5.43344222240701,91.6666666666667,87.5,95.8333333333333,87.5,0.141954224592665
QR-NFCI,92.6923076923077,5.31442734220748,79.1666666666667,83.3333333333333,79.1666666666667,75,0.147259682524073
QR-NFCI+TS,91.1858974358974,5.24024418840407,79.1666666666667,75,70.8333333333333,83.3333333333333,0.153737311046151
QR-NFCI+TS+GF,91.25,5.27805813441396,79.1666666666667,70.8333333333333,83.3333333333333,83.3333333333333,0.154939828847131
Full,90.1282051282051,5.28231060959717,79.1666666666667,79.1666666666667,83.3333333333333,75,0.184603990301711
Lasso,89.3269230769231,5.15080641191955,70.8333333333333,79.1666666666667,66.6666666666667,70.8333333333333,0.164173276161981
GARCH,92.9807692307692,5.22517160648437,95.8333333333333,87.5,95.8333333333333,83.3333333333333,0.138587399292276
GJR-GARCH,92.9166666666667,5.22426400397711,95.8333333333333,87.5,100,79.1666666666667,0.139115839308667
F-GARCH,92.8205128205128,5.2168573180536,95.8333333333333,91.6666666666667,87.5,83.3333333333333,0.138002456206675
