Row,Mean,Length,DQUNC,DQHITS,DQFIN,DQREAL,Tloss
Historical,94.4444444444444,5.42174542718628,87.5,41.6666666666667,66.6666666666667,75,0.139814166086373
QR-NFCI,92.7714646464647,5.17010632988696,79.1666666666667,50,79.1666666666667,70.8333333333333,0.134389542762267
QR-NFCI+TS,91.0984848484848,5.11062360862873,75,45.8333333333333,62.5,70.8333333333333,0.139174559474473
QR-NFCI+TS+GF,91.1616161616162,5.12588461822278,79.1666666666667,54.1666666666667,70.8333333333333,66.6666666666667,0.140561776933743
Full,90.9090909090909,5.23130778364668,66.6666666666667,58.3333333333333,62.5,66.6666666666667,0.160950779919057
Lasso,90.1830808080808,5.16852187831309,62.5,50,66.6666666666667,54.1666666666667,0.147100710525509
GARCH,93.3396464646465,5.11528321460289,91.6666666666667,70.8333333333333,95.8333333333333,95.8333333333333,0.123072993330763
GJR-GARCH,93.3080808080808,5.11646387298057,95.8333333333333,70.8333333333333,91.6666666666667,95.8333333333333,0.123328893811412
F-GARCH,93.4659090909091,5.130086190498,83.3333333333333,66.6666666666667,87.5,87.5,0.11904084239012
