Row,date_av,Q0251,Q0501,Q0751,Q0252,Q0502,Q0752,Q0253,Q0503,Q0753,Q0254,Q0504,Q0754
Coef,1973Q1 to 2016Q4,-0.28361610512849,-0.116759848839095,0.217184830977721,-0.433626325545167,-0.173589193802025,-0.0229573400162427,-0.248356491929882,0.0373340181042641,0.229726664505961,-0.298368995668159,-0.137616562204963,0.0649337978355612
TickLoss,1973Q1 to 2016Q4,0,-0.0841699154943132,0,0,-0.038462451165181,0,0,-0.0342230904785794,0,0,-0.0198467447161612,0
pass,1973Q1 to 2016Q4,0,4.16666666666667,0,0,0,0,0,4.16666666666667,0,0,4.16666666666667,0
