Row,date_av,Q0251,Q0501,Q0751,Q0252,Q0502,Q0752,Q0253,Q0503,Q0753,Q0254,Q0504,Q0754
Coef,1986Q2 to 2016Q4,-0.495167032917415,-0.267312987897878,-0.0695984558388024,-0.487587652018975,-0.154390436950944,-0.0058619112901177,-0.265871628839795,-0.0387804041720578,0.0716111454689683,-0.0528537260458838,0.0634602173929654,0.166962810956246
TickLoss,1986Q2 to 2016Q4,0,0.0419639352057019,0,0,0.00916146458319589,0,0,0.00149107790581404,0,0,-0.00188714511056043,0
pass,1986Q2 to 2016Q4,0,16.6666666666667,0,0,4.16666666666667,0,0,0,0,0,0,0
