Row,date_av,Q0251,Q0501,Q0751,Q0252,Q0502,Q0752,Q0253,Q0503,Q0753,Q0254,Q0504,Q0754
Coef,1973Q1 to 2016Q4,0.150185045464165,0.309108823976389,0.470086571646212,0.242240385535415,0.32698357530336,0.499440606326981,0.126847972198892,0.28680201781487,0.435048024144277,0.102017922642417,0.277325419233111,0.447760596353781
TickLoss,1973Q1 to 2016Q4,0,-0.0544435789922348,0,0,-0.0105011442295551,0,0,0.00359234054864466,0,0,0.0197671910276735,0
pass,1973Q1 to 2016Q4,0,25,0,0,29.1666666666667,0,0,20.8333333333333,0,0,25,0
