Stats,GARCH025,GARCH050,GARCH075,TARCH025,TARCH050,TARCH075,FGARCH025,FGARCH050,FGARCH075
Phi,0,0,0,-0.013888992444509,0.104070826803303,0.33199447872248,0,0,0
Constant,0,0,0,0.497645198863636,0.55320296875,0.74071328125,0,0,0
Loadings,0,0,0,0,0,0,0.381004565652522,0.51228331389132,0.617191874945772
Variance,0,0,0,0.934879828719015,1.25669821412606,1.83288487480921,0,0,0
Persistence,0.82565508681654,0.92741943373588,0.982260297582808,0.822079150707508,0.935890029539702,0.979893291750526,0.935036832028294,0.972867475161442,0.984725532193152
Beta,0.460353634507836,0.695733670220453,0.759231222715661,0.452505850018374,0.683587287507687,0.75413781706148,0.658244417770133,0.751154484108111,0.896140031138595
Gamma,0,0,0,-0.0969341941141472,0.0857574372480397,0.145832027113808,0,0,0
Skewness,-0.224451219268538,-0.053047464732118,0.238207046179934,-0.27530600775629,-0.0467815979089462,0.305018654937637,-0.205068140560182,-0.0314355762258888,0.238148715534766
Kurtosis,3.94224295367131,4.55208192898302,5.85305441730543,3.74240978885752,4.34619966157255,6.38639392904117,3.65618738024379,4.66934136303631,5.75488653336952
TickLoss,0,0.119327329499296,0,0,0.119918569358088,0,0,0.116674835306862,0
LR,0,100,0,0,100,0,0,100,0
ARCH,0,95.8333333333333,0,0,95.8333333333333,0,0,100,0
DQ,0,91.6666666666667,0,0,83.3333333333333,0,0,95.8333333333333,0
