Row,date_av,Q0251,Q0501,Q0751,Q0252,Q0502,Q0752,Q0253,Q0503,Q0753,Q0254,Q0504,Q0754
Coef,1973Q1 to 2016Q4,-0.286107953725913,-0.112507603890641,0.0662933874449285,-0.418035467967563,-0.0544610720601339,0.0448796079247913,-0.165228031900303,0.0610176855143908,0.184380770926544,-0.378911341468573,-0.174335490531396,-0.0217565686691377
TickLoss,1973Q1 to 2016Q4,0,-0.0753520946750039,0,0,-0.0429294201361134,0,0,-0.0197635713883959,0,0,-0.0142960077928593,0
pass,1973Q1 to 2016Q4,0,4.16666666666667,0,0,0,0,0,0,0,0,8.33333333333333,0
