Row,date_av,Q0251,Q0501,Q0751,Q0252,Q0502,Q0752,Q0253,Q0503,Q0753,Q0254,Q0504,Q0754
Coef,1985Q1 to 2016Q4,-0.321371575166583,-0.180477305744338,0.0106809971321662,-0.0655479730114416,0.0250500773278799,0.201065783062792,-0.0170333245165682,0.0410708070487248,0.153750253320424,-0.222418201416248,0.0434996687883907,0.277813937200414
TickLoss,1985Q1 to 2016Q4,0,0.0140539807652229,0,0,0.00139073088703512,0,0,-0.00101229809245429,0,0,-0.00706151842911051,0
pass,1985Q1 to 2016Q4,0,12.5,0,0,4.16666666666667,0,0,0,0,0,0,0
