Row,date_av,Q0251,Q0501,Q0751,Q0252,Q0502,Q0752,Q0253,Q0503,Q0753,Q0254,Q0504,Q0754
Coef,1973Q1 to 2016Q4,0.0164614500229832,0.0570242650820517,0.1128420313367,0.0430921717684175,0.0722792850039999,0.115205313811094,0.00343145117070246,0.0799761182254676,0.122882933551523,-0.0110899573501305,0.0375757149377041,0.116793191884027
TickLoss,1973Q1 to 2016Q4,0,-0.0787594340513584,0,0,-0.0365728701869035,0,0,-0.0140222365914424,0,0,-0.00188452466699252,0
pass,1973Q1 to 2016Q4,0,4.16666666666667,0,0,12.5,0,0,12.5,0,0,8.33333333333333,0
