Row,date_av,Q0251,Q0501,Q0751,Q0252,Q0502,Q0752,Q0253,Q0503,Q0753,Q0254,Q0504,Q0754
Coef,1973Q1 to 2016Q4,-0.791729530136616,-0.492784212267069,-0.29507407123376,-0.64158278380193,-0.393306567527761,-0.158151677252732,-0.469270233889515,-0.327246428919838,0.00135869783963274,-0.342498678178863,-0.219349478440426,0.0643119660528799
TickLoss,1973Q1 to 2016Q4,0,0.116966093529817,0,0,0.123856340412207,0,0,0.127558276555002,0,0,0.129787196338643,0
pass,1973Q1 to 2016Q4,0,29.1666666666667,0,0,41.6666666666667,0,0,25,0,0,4.16666666666667,0
