Row,date_av,Q0251,Q0501,Q0751,Q0252,Q0502,Q0752,Q0253,Q0503,Q0753,Q0254,Q0504,Q0754
Coef,1973Q1 to 2016Q4,-0.0436124798088725,0.134330963142658,0.338795447312009,-0.0208190566861365,0.076443000248845,0.252541875644531,-0.0475906992114043,0.109772511309484,0.323602839795489,-0.262823097528465,-0.0222904085005378,0.186684992005331
TickLoss,1973Q1 to 2016Q4,0,-0.0692240841999403,0,0,-0.0377216834940843,0,0,-0.0180855808603908,0,0,-0.00441521263623978,0
pass,1973Q1 to 2016Q4,0,8.33333333333333,0,0,8.33333333333333,0,0,0,0,0,0,0
