Row,date_av,Q0251,Q0501,Q0751,Q0252,Q0502,Q0752,Q0253,Q0503,Q0753,Q0254,Q0504,Q0754
Coef,1973Q1 to 2016Q4,-0.504665320362797,-0.427793569020233,-0.240606242842698,-0.661840039586419,-0.278952327805746,-0.13091634370494,-0.150155371490376,0.0301050348865717,0.13367264370401,-0.0589337682870067,0.0815722108628703,0.18674228974521
TickLoss,1973Q1 to 2016Q4,0,-0.0141837122787403,0,0,-0.0241708389429653,0,0,-0.0223947490282965,0,0,-0.0170559836934134,0
pass,1973Q1 to 2016Q4,0,8.33333333333333,0,0,8.33333333333333,0,0,0,0,0,0,0
