"","KOR","AUS","ISL","GBR","DNK","ESP","JPN","NOR","CAN","FIN","NLD","USA","MEX","BEL","DEU","LUX","PRT","ITA","AUT","IRL","CHE","SWE","FRA","GRC"
"1",0.450727163802885,-5.610639016,1.55669995803879,3.52478889761927,1.55669995803879,0.928300950830272,3.63697620498748,1.55669995803879,0.592567394757839,1.55669995803879,1.55669995803879,6.084518621,0.378076028427817,1.55669995803879,-3.1924499476089,1.55669995803879,1.55669995803879,0.521000467061193,1.55669995803879,1.55669995803879,0.576013127124158,0.537698799459887,4.89700498823487,1.55669995803879
"2",1.76682341997525,-2.125781887,2.81562526357993,5.68174594471995,2.81562526357993,3.6388839910911,4.51780534814244,2.81562526357993,2.32282860908231,2.81562526357993,2.81562526357993,9.228095459,1.48203533135541,2.81562526357993,-3.4901293702304,2.81562526357993,2.81562526357993,2.04229054946492,2.81562526357993,2.81562526357993,2.25793687389388,2.10774700988239,3.08201608684761,2.81562526357993
"3",2.72048858385951,-0.73704032,3.72786340892551,5.78108015465826,3.72786340892551,5.60301739485158,4.50190332559557,3.72786340892551,3.57660456717242,3.72786340892551,3.72786340892551,9.455920765,2.2819825423671,3.72786340892551,-0.718762443797413,3.72786340892551,3.72786340892551,3.14464256129303,3.72786340892551,3.72786340892551,3.4766867017134,3.24542996952655,4.08407897209667,3.72786340892551
"4",4.55842650122381,2.299082303,5.48596168124556,8.52132239953636,5.48596168124556,9.3883661674018,7.00821842843309,5.48596168124556,5.99292683679163,5.48596168124556,5.48596168124556,10.43427981,3.82366967395937,5.48596168124556,1.67240607717138,5.48596168124556,5.48596168124556,5.26913513746056,5.48596168124556,5.48596168124556,5.82550534913812,5.43801362326166,2.98046106933253,5.48596168124556
"5",7.76197109663167,2.392888193,8.55034495843675,13.5887751832641,8.55034495843675,15.9862678089475,19.1920763905984,8.55034495843675,10.2046012761018,8.55034495843675,8.55034495843675,8.350902015,6.51084611858316,8.55034495843675,2.11645818492984,8.55034495843675,8.55034495843675,8.97214743513689,8.55034495843675,8.55034495843675,9.91952028427873,9.25970936583361,5.66096978382821,8.55034495843675
"6",6.30289489845299,5.215292522,7.15465073015734,6.51188747115878,7.15465073015734,12.981208582707,11.7226809922418,7.15465073015734,8.28636547639301,7.15465073015734,7.15465073015734,11.56433245,5.28695331051135,7.15465073015734,4.14674364855008,7.15465073015734,7.15465073015734,7.28558527119904,7.15465073015734,7.15465073015734,8.05487330686052,7.5190920188297,3.76696729699335,7.15465073015734
"7",8.40590934890867,7.618587853,9.16631066550072,8.81569598035262,9.16631066550072,17.3124991521424,13.1992373268394,9.16631066550072,11.0511817424692,9.16631066550072,9.16631066550072,14.74583314,7.0509902157783,9.16631066550072,4.75579037205653,9.16631066550072,9.16631066550072,9.71648271629515,9.16631066550072,9.16631066550072,10.7424502431466,10.0279009748201,5.86271932075578,9.16631066550072
"8",9.10464566937881,8.468284076,9.83469402394814,9.1453349694536,9.83469402394814,18.7515905643381,19.023343928974,9.83469402394814,11.9698047905017,9.83469402394814,9.83469402394814,8.314322749,7.63709967217918,9.83469402394814,6.13470595477338,9.83469402394814,9.83469402394814,10.5241596848764,9.83469402394814,9.83469402394814,11.6354101650501,10.8614644048247,7.92217246548785,9.83469402394814
"9",6.84373699341491,5.910990767,7.67199875577187,6.50340141616788,7.67199875577187,14.0951069037359,14.9533602046538,7.67199875577187,8.99740624989098,7.67199875577187,7.67199875577187,-3.281680101,5.74061895946968,7.67199875577187,12.5616783292484,7.67199875577187,7.67199875577187,7.91075057453705,7.67199875577187,7.67199875577187,8.74605007945822,8.16429419103685,9.38424191856119,7.67199875577187
"10",4.4400081956767,2.176867579,5.37268744253134,8.95631008237098,5.37268744253134,9.14447621697678,10.6392391314212,5.37268744253134,5.83724323827575,5.37268744253134,5.37268744253134,-6.402819377,3.72433880098367,5.37268744253134,8.70240275363359,5.37268744253134,5.37268744253134,5.1322541206208,5.37268744253134,5.37268744253134,5.67417100773427,5.2967454995712,8.16412448576228,5.37268744253134
"11",2.88786008246763,0.14252187,3.88796432406444,6.26466528988581,3.88796432406444,5.94772952621928,9.6664777888049,3.88796432406444,3.79664653679799,3.88796432406444,3.88796432406444,-3.883154086,2.42237601439987,3.88796432406444,5.15065731080656,3.88796432406444,3.88796432406444,3.33810911035085,3.88796432406444,3.88796432406444,3.6905814656573,3.445097220788,5.98661777088938,3.88796432406444
"12",1.94722146039565,-0.875374094,2.98818685023453,5.37764766719642,2.98818685023453,4.010425104871,9.65496660693177,2.98818685023453,2.55999646896769,2.98818685023453,2.98818685023453,-3.55379487,1.63335564247856,2.98818685023453,2.52592499014871,2.98818685023453,2.98818685023453,2.25081462092971,2.98818685023453,2.98818685023453,2.48847909041552,2.32295438487297,4.79975080113031,2.98818685023453
"13",0.999794517609185,-2.543415782,2.08191593894553,2.97335926974037,2.08191593894553,2.0591397099319,8.0481799121614,2.08191593894553,1.31442185022587,2.08191593894553,2.08191593894553,-6.881251761,0.8386411355205,2.08191593894553,6.56375405415953,2.08191593894553,2.08191593894553,1.15567343721801,2.08191593894553,2.08191593894553,1.27770148510843,1.19271336408768,4.33086994061189,2.08191593894553
"14",0.629310223645948,-2.566473887,1.72752540649896,4.07332703644164,1.72752540649896,1.29610399792373,8.38809017036707,1.72752540649896,0.827349114204786,1.72752540649896,1.72752540649896,-3.363529866,0.527873909346039,1.72752540649896,1.27053141933439,1.72752540649896,1.72752540649896,0.727426582590681,1.72752540649896,1.72752540649896,0.804235863654387,0.750740977950558,2.56320756585066,1.72752540649896
"15",0.30022029007678,-3.176379215,1.41273107194626,3.68907637231603,1.41273107194626,0.618322575425464,6.06203190309514,1.41273107194626,0.394697212484936,1.41273107194626,1.41273107194626,-2.515330114,0.25182883136663,1.41273107194626,1.62886211916605,1.41273107194626,1.41273107194626,0.347027922682853,1.41273107194626,1.41273107194626,0.383670748073384,0.358150345734166,2.78812536610034,1.41273107194626
"16",0.463922947077043,-1.850639242,1.56932251920205,2.51273352362616,1.56932251920205,0.955478496680844,8.33019363740766,1.56932251920205,0.609915785413026,1.56932251920205,1.56932251920205,-0.966156008,0.389144829540656,1.56932251920205,-2.10808581298402,1.56932251920205,1.56932251920205,0.536253617528249,1.56932251920205,1.56932251920205,0.592876864211734,0.55344082122885,3.49788901716248,1.56932251920205
